"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 16:20:29 CST 2023","Thu Sep 07 16:20:29 CST 2023","182","","test_门户","","","","行业资讯，内容查看跳转",""
"broken","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:05 CST 2023","65","","test_运营侧","","","","我的代办重置筛选项",""
"passed","Thu Sep 07 16:20:25 CST 2023","Thu Sep 07 16:20:25 CST 2023","117","","test_门户","","","","服务申请”",""
"passed","Thu Sep 07 16:20:29 CST 2023","Thu Sep 07 16:20:29 CST 2023","151","","test_门户","","","","行业资讯跳转",""
"passed","Thu Sep 07 16:20:20 CST 2023","Thu Sep 07 16:20:20 CST 2023","75","","test_运营侧","","","","课程名搜索",""
"passed","Thu Sep 07 16:20:26 CST 2023","Thu Sep 07 16:20:26 CST 2023","104","","test_门户","","","","内容查看跳转",""
"passed","Thu Sep 07 16:20:24 CST 2023","Thu Sep 07 16:20:24 CST 2023","121","","test_门户","","","","保存需求草稿”",""
"passed","Thu Sep 07 16:19:44 CST 2023","Thu Sep 07 16:19:46 CST 2023","1143","","test_个人中心","","","","我发布的需求，提交需求草稿”",""
"broken","Thu Sep 07 16:20:00 CST 2023","Thu Sep 07 16:20:02 CST 2023","1774","","test_个人中心","","","","我对接的需求，待办列表页点击完成按钮",""
"passed","Thu Sep 07 16:20:31 CST 2023","Thu Sep 07 16:20:31 CST 2023","232","","test_门户","","","","法规标准下载200状态码",""
"passed","Thu Sep 07 16:20:05 CST 2023","Thu Sep 07 16:20:05 CST 2023","109","","test_运营侧","","","","参与事项企业退出成功",""
"passed","Thu Sep 07 16:19:46 CST 2023","Thu Sep 07 16:19:46 CST 2023","82","","test_个人中心","","","","我对接的需求，发布需求页面跳转",""
"passed","Thu Sep 07 16:20:29 CST 2023","Thu Sep 07 16:20:29 CST 2023","94","","test_门户","","","","通知公告跳转",""
